COURSE CODE,COURSE TITLE,MAJOR(S) REQUIRED,REQUIRED OPTIONS,DIVISION,PROGRAM,CREDIT HOURS,SOURCE OF CLOs,DATE OF UPDATED RECORDED CLOs,,,TIL,SQL,INQ,ANL,INT,CRE,COM,COL,GCU,DEI,INFO LIT,SCI LIT,TECH LIT,QUANT LIT
SCI-XXX,Science Choice,,,ITS,,4,,,,,1,3,0.5,2,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
MTH-XXX,Math Choice,,,ITS,MATH,3,,,,,1.4375,3,0.7647058824,1.588235294,1.176470588,0.05882352941,1.294117647,0.2352941176,0.2352941176,0.375,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CRJ-XXX,Criminal Justice Choice,,,SOI,CRIM,3,,,,,2,0.7,2.909090909,2.818181818,2.181818182,0.3636363636,2.363636364,0.4545454545,1.363636364,3,3,0,0,0
ACC-XXX,Accounting Choice,,,SSB,ACCT,3,,,,,1.571428571,2.714285714,1.5,2.928571429,2.071428571,0.2142857143,1.357142857,0.6428571429,0.2857142857,0.25,1.5,1.5,1.5,3
WRT-XXX,Writing Choice,,,CCM,PWRT,3,,,,,1.125,0,1.916666667,1.666666667,1.583333333,2.75,2.916666667,1.416666667,0.75,0.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CSI-XXX,Computer Science Choice,,,ITS,CSIN,3,,,,,2.68,0.92,1.307692308,2.384615385,1.423076923,0.8076923077,1.038461538,0.4615384615,0.7692307692,0.6923076923,0.75,0.5,3,1
FLM-XXX,Filmmaking Choice,,,CCM,FMM,3,,,,,1.269230769,0.3076923077,1.346153846,1.730769231,1.807692308,2.153846154,2.538461538,1.884615385,1.615384615,1.333333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ACC-135,Accounting for Decision Making,"ACCT, BSBA, FINA, GMBP, GMPG",,SSB,ACCT,3,Curriculog,New 1/7/2020,,,1,3,1,3,1,1,1,2,0,0,,,,
ACC-145,Financial Accounting,"ACCT, FINA",,SSB,ACCT,3,Curriculog,New 3/31/2023,,,1,3,1,3,1,1,1,1,0,0,,,,
ACC-230,Intermediate Accounting I,"ACCT, FINA",,SSB,ACCT,3,Recent Syllabi,New 8/10/2020,,,2,3,1,3,2,0,0,0,0,0,,,,
ACC-231,Intermediate Accounting II,"ACCT, FINA",,SSB,ACCT,3,Recent Syllabi,New 8/10/2020,,,2,3,1,3,2,0,2,1,0,0,,,,
ACC-310,Federal Taxes I,,,SSB,ACCT,3,Recent Syllabi,5/1/2016,,,1,3,1,3,2,0,0,0,1,,,,,
ACC-325,Fundmentals of Federal Taxation,ACCT,,SSB,ACCT,3,Curriculog,New 3/31/2023,,,2,3,3,3,3,0,2,1,0,1,,,,
ACC-340,Cost Accounting I,,,SSB,ACCT,3,Recent Syllabi,9/1/2015,,,3,2,1,3,2,0,1,0,0,,,,,
ACC-345,Cost Accounting ,ACCT,FINA,SSB,ACCT,3,Curriculog,New 4/28/2023,,,1,3,3,3,3,1,2,0,0,0,1,3,1,3
ACC-350,Accounting Information Systems,ACCT,,SSB,ACCT,3,Recent Syllabi,1/1/2015,,,3,2,1,3,2,0,2,0,0,,,,,
ACC-370,Volunteer Income Tax Assistance,ACCT,,SSB,ACCT,1,Recent Syllabi,New 9/25/2023,,,2,1,2,3,2,0,2,2,1,1,2,0,2,3
ACC-390,Accounting Internship,ACCT,,SSB,ACCT,2,Recent Syllabi,New 8/10/2020,,,0,3,2,2,2,0,1,2,1,0,,,,
ACC-400,Advanced Accounting,"ACCT, FINA",FINA,SSB,ACCT,3,Recent Syllabi,9/1/2015,,,2,3,1,3,2,0,2,0,1,,,,,
ACC-410,Federal Taxes II,,,SSB,ACCT,3,Recent Syllabi,9/1/2015,,,1,3,2,3,2,0,1,0,0,,,,,
ACC-420,Auditing,ACCT,,SSB,ACCT,3,Recent Syllabi,1/1/2016,,,1,3,1,3,3,0,2,0,0,,,,,
ANM-100,Animation History,,,CCM,ANIM,3,,,,,,,,,,,,,,,,,,
ANM-200,2D Animation,,,CCM,ANIM,3,,,,,,,,,,,,,,,,,,
ANM-210,Animation Studio I,,,CCM,ANIM,3,,,,,,,,,,,,,,,,,,
ANM-255,Rigging for 3D Animation,,,CCM,ANIM,3,,,,,,,,,,,,,,,,,,
ANM-310,Animation Studio II,,,CCM,ANIM,3,,,,,,,,,,,,,,,,,,
ANM-400,Animation Portfolio,,,CCM,ANIM,3,,,,,,,,,,,,,,,,,,
ANM-410,Animation Studio III,,,CCM,ANIM,3,,,,,,,,,,,,,,,,,,
APP-200,Web App Project PLACEHOLDER,,,ITS,APP,3,,,,,,,,,,,,,,,,,,
APP-300,Mobile App Project PLACEHOLDER,,,ITS,APP,3,,,,,,,,,,,,,,,,,,
ART-110,"Drawing, Introductory",VCDS,,CCM,GDDM,3,Recent Syllabi,9/1/2015,,,0,0,0,0,0,2,1,0,0,,,,,
ART-111,The Digital Image,,,CCM,CREM,3,,,,,,,,,,,,,,,,,,
ART-115,"Photography, Introduction to",,,CCM,,3,,,,,,,,,,,,,,,,,,
ART-120,Art History,"ACCT, GMRT, VCDS",,CCM,GDDM,3,Recent Syllabi,New 3/31/2023,,,0,0,3,0,2,0,2,0,3,2,,,,
